"TYPE","YEAR","MONTH","address","lon","lat","GPS","city"
"Commercial Break and Enter",2014,1,"1100 BURRARD ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1700 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"3600 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1200 W 8TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1100 W GEORGIA ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1400 RICHARDS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1400 NELSON ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"8500 KINROSS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1600 CLARK DR",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1500 HOWE ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"300 CAMBIE ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1600 COLUMBIA ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1900 NELSON ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1800 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1100 BURRARD ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2100 W 43RD AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"3100 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1000 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 E 6TH AVE",NA,NA,NA,"VANCOUVER BC"
