"","TYPE","YEAR","MONTH","address","lon","lat","GPS","city"
"100","Commercial Break and Enter",2014,1,"300 CAMBIE ST",NA,NA,NA,"VANCOUVER BC"
"101","Commercial Break and Enter",2014,1,"1600 COLUMBIA ST",NA,NA,NA,"VANCOUVER BC"
"102","Commercial Break and Enter",2014,1,"1900 NELSON ST",NA,NA,NA,"VANCOUVER BC"
"103","Commercial Break and Enter",2014,1,"1800 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"104","Commercial Break and Enter",2014,1,"1100 BURRARD ST",NA,NA,NA,"VANCOUVER BC"
"105","Commercial Break and Enter",2014,1,"2100 W 43RD AVE",NA,NA,NA,"VANCOUVER BC"
"106","Commercial Break and Enter",2014,1,"3100 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"107","Commercial Break and Enter",2014,1,"1000 W BROADWAY AVE",NA,NA,NA,"VANCOUVER BC"
"108","Commercial Break and Enter",2014,1,"100 E 6TH AVE",NA,NA,NA,"VANCOUVER BC"
"109","Commercial Break and Enter",2014,1,"5300 WEST BLVD",NA,NA,NA,"VANCOUVER BC"
"110","Commercial Break and Enter",2014,1,"1800 COMMERCIAL DR",NA,NA,NA,"VANCOUVER BC"
"111","Commercial Break and Enter",2014,1,"1800 W 3RD AVE",NA,NA,NA,"VANCOUVER BC"
"112","Commercial Break and Enter",2014,1,"1000 BUTE ST",NA,NA,NA,"VANCOUVER BC"
"113","Commercial Break and Enter",2014,1,"1200 HARO ST",NA,NA,NA,"VANCOUVER BC"
"114","Commercial Break and Enter",2014,1,"5600 FRASER ST",NA,NA,NA,"VANCOUVER BC"
"115","Commercial Break and Enter",2014,1,"900 W 16TH AVE",NA,NA,NA,"VANCOUVER BC"
"116","Commercial Break and Enter",2014,1,"1400 NELSON ST",NA,NA,NA,"VANCOUVER BC"
"117","Commercial Break and Enter",2014,1,"3100 RIVERWALK AVE",NA,NA,NA,"VANCOUVER BC"
"118","Commercial Break and Enter",2014,1,"2100 W 41ST AVE",NA,NA,NA,"VANCOUVER BC"
"119","Commercial Break and Enter",2014,1,"1100 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"120","Commercial Break and Enter",2014,1,"1300 E 8TH AVE",NA,NA,NA,"VANCOUVER BC"
"121","Commercial Break and Enter",2014,1,"1100 CARDERO ST",NA,NA,NA,"VANCOUVER BC"
"122","Commercial Break and Enter",2014,1,"500 E 43RD AVE",NA,NA,NA,"VANCOUVER BC"
"123","Commercial Break and Enter",2014,1,"3700 W 6TH AVE",NA,NA,NA,"VANCOUVER BC"
"124","Commercial Break and Enter",2014,1,"300 W 7TH AVE",NA,NA,NA,"VANCOUVER BC"
"125","Commercial Break and Enter",2014,1,"1000 CHILCO ST",NA,NA,NA,"VANCOUVER BC"
"126","Commercial Break and Enter",2014,1,"900 W 7TH AVE",NA,NA,NA,"VANCOUVER BC"
"127","Commercial Break and Enter",2014,1,"100 W 1ST AVE",NA,NA,NA,"VANCOUVER BC"
"128","Commercial Break and Enter",2014,1,"3300 FRASER ST",NA,NA,NA,"VANCOUVER BC"
"129","Commercial Break and Enter",2014,1,"500 CLARK DR",NA,NA,NA,"VANCOUVER BC"
"130","Commercial Break and Enter",2014,1,"2000 W 12TH AVE",NA,NA,NA,"VANCOUVER BC"
"131","Commercial Break and Enter",2014,1,"400 E 10TH AVE",NA,NA,NA,"VANCOUVER BC"
"132","Commercial Break and Enter",2014,1,"800 SEYMOUR ST",NA,NA,NA,"VANCOUVER BC"
"133","Commercial Break and Enter",2014,1,"700 E CORDOVA ST",NA,NA,NA,"VANCOUVER BC"
"134","Commercial Break and Enter",2014,1,"300 KEEFER ST",NA,NA,NA,"VANCOUVER BC"
"135","Commercial Break and Enter",2014,1,"100 W 2ND AVE",NA,NA,NA,"VANCOUVER BC"
"136","Commercial Break and Enter",2014,1,"500 DUNSMUIR ST",NA,NA,NA,"VANCOUVER BC"
"137","Commercial Break and Enter",2014,1,"900 MAIN ST",NA,NA,NA,"VANCOUVER BC"
"138","Commercial Break and Enter",2014,1,"500 BEATTY ST",NA,NA,NA,"VANCOUVER BC"
"139","Commercial Break and Enter",2014,1,"1300 E 8TH AVE",NA,NA,NA,"VANCOUVER BC"
"140","Commercial Break and Enter",2014,1,"1500 JOHNSTON ST",NA,NA,NA,"VANCOUVER BC"
"141","Commercial Break and Enter",2014,1,"400 INDUSTRIAL AVE",NA,NA,NA,"VANCOUVER BC"
"142","Commercial Break and Enter",2014,1,"2400 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"143","Commercial Break and Enter",2014,1,"1200 MARINASIDE CRES",NA,NA,NA,"VANCOUVER BC"
"144","Commercial Break and Enter",2014,1,"1400 KINGSWAY AVE",NA,NA,NA,"VANCOUVER BC"
"145","Commercial Break and Enter",2014,1,"3400 CROWLEY DR",NA,NA,NA,"VANCOUVER BC"
"146","Commercial Break and Enter",2014,1,"100 W 1ST AVE",NA,NA,NA,"VANCOUVER BC"
"147","Commercial Break and Enter",2014,1,"1500 JOHNSTON ST",NA,NA,NA,"VANCOUVER BC"
